underlying_symbol,spot_price,strike_price,expiry_date_str,option_type,ltp,bid,ask,volume,open_interest,iv,delta,gamma,theta,vega,collected_at,expiry_date,evaluation_date,time_to_maturity,risk_free_rate,dividend_yield,mid_price
ICICIBANK,1387,1470.0,30-06-2026,PUT,0.0,76.0,90.5,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,83.25
ICICIBANK,1387,1480.0,30-06-2026,CALL,0.4,0.2,0.8,34,49,0.2729,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.5
ICICIBANK,1387,1480.0,30-06-2026,PUT,94.0,86.9,93.5,40,45,0.4119,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,90.2
ICICIBANK,1387,1490.0,30-06-2026,CALL,0.0,0.15,1.45,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.7999999999999999
ICICIBANK,1387,1490.0,30-06-2026,PUT,0.0,95.9,110.7,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,103.30000000000001
ICICIBANK,1387,1500.0,30-06-2026,CALL,0.3,0.3,0.4,618,1036,0.3072,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.35
ICICIBANK,1387,1500.0,30-06-2026,PUT,0.0,107.15,120.45,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,113.80000000000001
ICICIBANK,1387,1520.0,30-06-2026,CALL,0.3,0.2,0.3,23,86,0.3518,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.25
ICICIBANK,1387,1520.0,30-06-2026,PUT,0.0,125.7,140.35,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,133.025
ICICIBANK,1387,1540.0,30-06-2026,CALL,0.0,0.1,0.7,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,0.39999999999999997
ICICIBANK,1387,1540.0,30-06-2026,PUT,0.0,146.3,160.3,0,0,0.0,0.0,0.0,0.0,0.0,2026-06-25T22:13:51,2026-06-30,2026-06-25 22:13:51.738128,0.010958904109589041,0.07,0.02,153.3
